id,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2],author_Inasaka,author_Janssen,author_Kossolapov,author_Mortimore,author_Peskov,author_Richenderfer,author_Thompson,author_Weatherhead,author_Williams,geometry_plate,geometry_tube
0,7.0,3770.0,0.1754,8.65351919561243,14.764067574795769,432.0,3.6,0,0,0,0,0,0,1,0,0,0,1
1,7.717999999999999,6049.0,-0.0416,10.3,10.3,762.0,6.2,0,0,0,0,0,0,1,0,0,0,1
2,13.79,2034.0,0.0335,7.7,7.7,457.0,2.5,0,0,0,0,0,0,1,0,0,0,1
3,13.79,3679.0,-0.0279,5.6,15.2,2134.0,3.0,0,0,0,0,0,0,0,0,0,0,0
4,13.79,686.0,,11.1,11.1,457.0,2.8,0,0,0,0,0,0,1,0,0,0,1
5,17.24,3648.0,-0.0711,8.65351919561243,14.764067574795769,696.0,3.6,0,0,0,0,0,0,1,0,0,0,1
6,6.89,549.0,0.1203,12.8,12.8,1930.0,2.6,0,0,0,0,0,0,1,0,0,0,1
7,18.0,750.0,,10.0,10.0,1650.0,2.2,0,0,0,0,1,0,0,0,0,0,1
8,12.07,4042.0,-0.0536,8.65351919561243,14.764067574795769,152.0,5.6,0,0,0,0,0,0,1,0,0,0,1
9,12.0,1617.0,0.1228,10.0,10.0,520.0,2.2,0,0,0,0,1,0,0,0,0,0,1
10,12.776,2349.0,,1.9,1.9,152.0,3.2,0,0,0,0,0,0,1,0,0,0,1
11,4.13,1519.0,0.0515,12.7,51.314406244737526,1778.0,4.6,0,1,0,0,0,0,0,0,0,0,0
12,6.89,7500.0,,8.65351919561243,14.764067574795769,1930.0,4.8,0,0,0,0,0,0,1,0,0,0,1
13,12.0,2794.0,-0.0297,10.0,10.0,1650.0,2.9,0,0,0,0,1,0,0,0,0,0,1
14,14.134,2306.0,-0.0719,1.9,1.9,152.0,3.8,0,0,0,0,0,0,1,0,0,0,1
15,12.07,3255.0,0.0406,1.9,1.9,152.0,2.9,0,0,0,0,0,0,1,0,0,0,1
16,6.89,4069.0,0.0141,10.8,10.8,575.6,5.3,0,0,0,0,0,0,1,0,0,0,1
17,10.41,2563.0,0.1092,4.6,4.6,229.0,6.8,0,0,0,0,0,0,1,0,0,0,1
18,6.2780000000000005,1858.0,0.0406,8.65351919561243,14.764067574795769,432.0,3.4,0,0,0,0,0,0,1,0,0,0,1
19,9.68,5615.0,-0.0204,6.4,15.9,914.0,6.2,0,1,0,0,0,0,0,0,0,0,0
20,7.58,5189.0,-0.0264,10.3,10.3,762.0,4.5,0,0,0,0,0,0,1,0,0,0,1
