iter	Passed	Remaining
0	138	42651
1	141	21744
2	144	14743
3	146	11217
4	149	9111
5	152	7702
6	154	6705
7	157	5959
8	161	5390
9	164	4937
10	167	4551
11	170	4230
12	173	3959
13	176	3735
14	179	3530
15	182	3345
16	185	3193
17	188	3053
18	191	2932
19	194	2819
20	197	2714
21	200	2624
22	203	2538
23	206	2461
24	209	2386
25	212	2321
26	215	2259
27	218	2197
28	221	2145
29	224	2094
30	227	2044
31	229	1996
32	232	1949
33	235	1909
34	238	1870
35	240	1832
36	243	1797
37	246	1761
38	249	1731
39	252	1701
40	255	1674
41	258	1646
42	260	1620
43	263	1594
44	266	1571
45	269	1548
46	272	1525
47	275	1502
48	278	1483
49	281	1465
50	284	1447
51	287	1428
52	290	1408
53	293	1391
54	296	1375
55	299	1358
56	302	1341
57	304	1323
58	307	1307
59	310	1292
60	313	1278
61	316	1264
62	318	1250
63	321	1236
64	324	1223
65	327	1211
66	330	1199
67	333	1187
68	337	1177
69	339	1164
70	342	1153
71	345	1142
72	348	1130
73	351	1121
74	354	1110
75	357	1101
76	361	1092
77	364	1082
78	366	1073
79	370	1064
80	373	1055
81	376	1045
82	379	1037
83	381	1027
84	385	1019
85	388	1011
86	391	1003
87	394	994
88	397	986
89	400	977
90	403	970
91	406	963
92	409	955
93	412	948
94	415	940
95	418	933
96	422	928
97	425	921
98	429	914
99	432	907
100	435	901
101	438	894
102	441	888
103	444	880
104	447	873
105	450	867
106	453	860
107	456	853
108	459	846
109	461	839
110	464	833
111	468	827
112	470	820
113	473	813
114	475	806
115	478	800
116	482	795
117	484	788
118	487	782
119	490	776
120	493	770
121	496	764
122	498	758
123	501	751
124	503	745
125	506	739
126	509	733
127	512	728
128	514	721
129	516	715
130	520	710
131	523	705
132	525	699
133	528	694
134	531	689
135	535	684
136	538	679
137	541	675
138	544	670
139	547	664
140	549	659
141	552	653
142	555	648
143	558	643
144	560	637
145	563	632
146	565	627
147	568	622
148	571	617
149	574	612
150	576	607
151	579	602
152	582	597
153	585	593
154	588	588
155	591	583
156	594	579
157	597	574
158	600	570
159	603	565
160	606	561
161	608	556
162	611	551
163	614	547
164	617	542
165	620	538
166	623	534
167	626	529
168	629	525
169	632	520
170	635	516
171	637	511
172	640	507
173	643	502
174	646	498
175	649	494
176	651	489
177	654	485
178	657	481
179	660	476
180	663	472
181	665	468
182	668	464
183	671	459
184	673	455
185	676	451
186	679	446
187	681	442
188	684	438
189	687	433
190	689	429
191	692	425
192	695	421
193	698	417
194	700	413
195	703	409
196	706	405
197	709	401
198	712	397
199	714	393
200	717	389
201	720	385
202	723	381
203	726	377
204	729	373
205	732	369
206	734	365
207	738	361
208	740	358
209	743	353
210	746	350
211	748	346
212	751	342
213	754	338
214	757	334
215	759	330
216	762	326
217	765	322
218	768	319
219	771	315
220	773	311
221	776	307
222	778	303
223	781	299
224	784	296
225	787	292
226	790	288
227	792	285
228	795	281
229	798	277
230	801	274
231	804	270
232	807	266
233	810	263
234	812	259
235	816	255
236	818	252
237	821	248
238	824	245
239	827	241
240	830	237
241	833	234
242	836	230
243	839	227
244	842	223
245	845	220
246	848	216
247	851	212
248	854	209
249	856	205
250	859	202
251	862	198
252	865	195
253	868	191
254	871	187
255	873	184
256	877	180
257	880	177
258	884	174
259	886	170
260	889	167
261	893	163
262	896	160
263	900	156
264	903	153
265	907	150
266	910	146
267	913	143
268	916	139
269	919	136
270	922	132
271	925	129
272	928	125
273	932	122
274	935	119
275	939	115
276	942	112
277	946	108
278	949	105
279	952	102
280	972	100
281	975	96
282	978	93
283	981	89
284	984	86
285	987	82
286	990	79
287	994	75
288	997	72
289	1000	68
290	1003	65
291	1006	62
292	1010	58
293	1013	55
294	1016	51
295	1020	48
296	1023	44
297	1025	41
298	1028	37
299	1031	34
300	1034	30
301	1047	27
302	1050	24
303	1053	20
304	1055	17
305	1058	13
306	1062	10
307	1065	6
308	1068	3
309	1071	0
